latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-11.498,131.412,318.1,1.4,1.2,2015-08-05, 0150,T,17,5.0,301.1,17.9
-11.436,130.879,323.5,1.3,1.1,2015-08-05, 0150,T,60,5.0,304.7,24.2
-11.512,131.437,319.6,1.4,1.2,2015-08-05, 0150,T,43,5.0,300.8,21.8
-11.514,131.45,343.6,1.4,1.2,2015-08-05, 0150,T,80,5.0,303.7,85.2
-11.455,130.865,322.7,1.3,1.1,2015-08-05, 0150,T,28,5.0,306.9,18.6
-11.799,133.19,332.6,1.9,1.4,2015-08-05, 0150,T,85,5.0,306,75.7
-11.801,133.207,323.7,1.9,1.4,2015-08-05, 0150,T,77,5.0,305.6,43.7
-11.803,133.225,313.7,1.9,1.4,2015-08-05, 0150,T,35,5.0,303.7,15.4
-11.628,131.253,326.5,1.4,1.2,2015-08-05, 0150,T,76,5.0,303.1,33.9
-11.94,133.69,325.5,2.1,1.4,2015-08-05, 0150,T,54,5.0,301.3,60.8
-11.942,133.709,333.2,2.1,1.4,2015-08-05, 0150,T,82,5.0,304.3,93.8
-11.51,130.309,325,1.2,1.1,2015-08-05, 0150,T,78,5.0,306.5,25.7
-11.512,130.32,346.3,1.2,1.1,2015-08-05, 0150,T,93,5.0,307.2,73.2
-11.513,130.331,345.7,1.2,1.1,2015-08-05, 0150,T,93,5.0,305.5,71.2
-11.638,131.251,321.7,1.4,1.2,2015-08-05, 0150,T,69,5.0,305.5,23.6
-11.64,131.264,318.9,1.4,1.2,2015-08-05, 0150,T,64,5.0,302.9,17.2
-11.952,133.688,340.8,2.1,1.4,2015-08-05, 0150,T,90,5.0,304.1,129.5
-11.955,133.707,347.3,2.1,1.4,2015-08-05, 0150,T,94,5.0,307.9,169.6
-11.523,130.33,317.4,1.2,1.1,2015-08-05, 0150,T,51,5.0,303.8,14
-11.965,133.686,322.7,2.1,1.4,2015-08-05, 0150,T,60,5.0,304.2,45
-11.968,133.706,321.4,2.1,1.4,2015-08-05, 0150,T,62,5.0,305.6,41.3
-11.664,131.209,326.1,1.4,1.2,2015-08-05, 0150,T,66,5.0,302.7,31.2
-11.666,131.222,355.2,1.4,1.2,2015-08-05, 0150,T,97,5.0,306.6,117.3
-11.668,131.234,317.1,1.4,1.2,2015-08-05, 0150,T,34,5.0,304.7,10.4
-11.673,131.195,341.6,1.4,1.2,2015-08-05, 0150,T,91,5.0,304,72.1
-11.675,131.208,344.5,1.4,1.2,2015-08-05, 0150,T,92,5.0,305.2,80.2
-11.677,131.22,319.1,1.4,1.2,2015-08-05, 0150,T,40,5.0,304.8,14.3
-11.678,131.156,314.9,1.4,1.2,2015-08-05, 0150,T,56,5.0,302.7,13.7
-11.675,131.163,315.4,1.4,1.2,2015-08-05, 0150,T,47,5.0,302.3,13.1
-11.68,131.2,327.2,1.4,1.2,2015-08-05, 0150,T,80,5.0,304.9,33
-11.682,131.213,317.5,1.4,1.2,2015-08-05, 0150,T,37,5.0,305.4,12.1
-12.352,135.127,319.9,2.8,1.6,2015-08-05, 0150,T,72,5.0,302.4,63.5
-12.341,135.122,317.9,2.8,1.6,2015-08-05, 0150,T,49,5.0,301.5,50.3
-12.355,135.12,317.2,2.8,1.6,2015-08-05, 0150,T,37,5.0,302.9,46.3
-12.242,133.712,322.8,2.1,1.4,2015-08-05, 0150,T,70,5.0,306.9,46
-12.227,132.253,315.6,1.7,1.3,2015-08-05, 0150,T,41,5.0,304.5,19.1
-12.656,135.39,318.3,2.9,1.6,2015-08-05, 0150,T,69,5.0,300.3,64.9
-12.659,135.417,310.9,3,1.6,2015-08-05, 0150,T,41,5.0,299.1,30.3
-12.415,133.238,315.5,2,1.4,2015-08-05, 0150,T,41,5.0,304.6,25.3
-12.417,133.255,315,2,1.4,2015-08-05, 0150,T,38,5.0,301.8,24.5
-12.573,134.473,321.6,2.5,1.5,2015-08-05, 0150,T,58,5.0,302.9,51.6
-12.657,135.385,315.1,2.9,1.6,2015-08-05, 0150,T,63,5.0,300.3,47.2
-12.66,135.411,313.5,3,1.6,2015-08-05, 0150,T,58,5.0,299.4,42.3
-12.42,133.249,319.5,2,1.4,2015-08-05, 0150,T,65,5.0,303.1,38
-12.566,134.468,314.8,2.5,1.5,2015-08-05, 0150,T,47,5.0,302.1,29.7
-12.569,134.491,321.9,2.5,1.5,2015-08-05, 0150,T,75,5.0,304.7,59.2
-12.438,132.995,323.8,1.9,1.3,2015-08-05, 0150,T,77,5.0,304.1,47.1
-12.595,132.892,368.4,1.9,1.3,2015-08-05, 0150,T,100,5.0,308.4,274.7
-12.597,132.91,332.3,1.9,1.3,2015-08-05, 0150,T,85,5.0,308,64.4
-12.607,132.891,346.5,1.9,1.3,2015-08-05, 0150,T,93,5.0,308.6,130.5
-12.609,132.908,340.3,1.9,1.3,2015-08-05, 0150,T,90,5.0,307.4,97.2
-12.621,132.907,327.9,1.9,1.3,2015-08-05, 0150,T,77,5.0,308.4,43.8
-12.623,132.924,330.7,1.9,1.3,2015-08-05, 0150,T,81,5.0,308.1,55
-12.645,132.904,324.5,1.9,1.3,2015-08-05, 0150,T,38,5.0,307.4,29.4
-12.648,132.921,333,1.9,1.3,2015-08-05, 0150,T,85,5.0,308.9,59.8
-12.476,131.524,317.2,1.5,1.2,2015-08-05, 0150,T,62,5.0,303.4,18.7
-12.652,132.914,340,1.9,1.3,2015-08-05, 0150,T,90,5.0,308.6,94.4
-12.487,131.522,325.5,1.5,1.2,2015-08-05, 0150,T,79,5.0,305.1,36.1
-12.489,131.536,322,1.5,1.2,2015-08-05, 0150,T,68,5.0,303,26.5
-12.448,131.138,325.5,1.4,1.2,2015-08-05, 0150,T,79,5.0,306,33.6
-12.505,131.41,329.7,1.5,1.2,2015-08-05, 0150,T,71,5.0,305.9,40.7
-12.525,131.559,322.7,1.5,1.2,2015-08-05, 0150,T,67,5.0,304.7,27.5
-12.612,132.224,319.7,1.7,1.3,2015-08-05, 0150,T,30,5.0,306.3,23.7
-12.624,132.223,319.1,1.7,1.3,2015-08-05, 0150,T,45,5.0,305.6,22.9
-12.539,131.419,332.4,1.5,1.2,2015-08-05, 0150,T,55,5.0,308,43.9
-12.544,131.426,331.8,1.5,1.2,2015-08-05, 0150,T,50,5.0,306.4,40.9
-12.562,131.562,323,1.5,1.2,2015-08-05, 0150,T,52,5.0,304.4,26.7
-12.552,131.398,324.1,1.5,1.2,2015-08-05, 0150,T,58,5.0,304.4,29.4
-12.585,131.489,323.8,1.5,1.2,2015-08-05, 0150,T,54,5.0,306.8,24.2
-12.589,131.434,320.4,1.5,1.2,2015-08-05, 0150,T,73,5.0,305.9,20.4
