latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
46.106,-81.568,303.3,0.4,0.5,2016-06-21,0655,N,nominal,1.0NRT,288.1,0,N
46.105,-81.562,313.8,0.4,0.5,2016-06-21,0655,N,nominal,1.0NRT,289.3,0,N
45.237,-75.765,299.3,0.4,0.4,2016-06-21,0655,N,nominal,1.0NRT,288.2,0,N
45.972,-85.877,296.5,0.3,0.6,2016-06-21,0655,N,nominal,1.0NRT,282.2,0,N
45.976,-85.878,295.4,0.3,0.6,2016-06-21,0655,N,nominal,1.0NRT,282.4,0,N
45.319,-85.299,297.2,0.6,0.6,2016-06-21,0655,N,nominal,1.0NRT,287,0,N
44.168,-76.804,303.7,0.4,0.4,2016-06-21,0655,N,nominal,1.0NRT,288.9,0,N
44.767,-93.045,298.1,0.7,0.8,2016-06-21,0655,N,nominal,1.0NRT,287.4,0,N
43.493,-79.626,305.9,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,290.3,0,N
43.268,-78.431,300.6,0.4,0.4,2016-06-21,0655,N,nominal,1.0NRT,288.5,0,N
43.083,-77.381,299.7,0.4,0.4,2016-06-21,0655,N,nominal,1.0NRT,288.1,0,N
42.922,-76.833,307.3,0.4,0.4,2016-06-21,0655,N,nominal,1.0NRT,288.4,0,N
43.275,-79.798,329.9,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,288,0,N
43.276,-79.804,299.9,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,288.4,0,N
43.292,-79.989,296.8,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,286.7,0,N
43.272,-79.805,308.8,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,291.3,0,N
43.272,-79.799,297.8,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,285.6,0,N
43.269,-79.806,307.2,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,290.4,0,N
43.265,-79.807,300.9,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,289.4,0,N
43.268,-79.806,305.4,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,289.9,0,N
43.264,-79.807,303,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,289.7,0,N
43.07,-80.862,300.1,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,286.2,0,N
43.07,-80.855,298.1,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,285.2,0,N
42.811,-80.103,301.1,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,285.9,0,N
42.811,-80.097,299.1,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,287.9,0,N
42.81,-80.091,302.5,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,287.7,0,N
42.807,-80.098,327,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,290.2,0,N
42.808,-80.104,314.4,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,286.8,0,N
42.804,-80.105,316.9,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,287.3,0,N
42.803,-80.098,304.2,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,288.4,0,N
42.8,-80.105,298.1,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,286.1,0,N
42.8,-80.099,299,0.5,0.4,2016-06-21,0655,N,nominal,1.0NRT,288.9,0,N
42.967,-81.869,296.9,0.4,0.5,2016-06-21,0655,N,nominal,1.0NRT,284.4,0,N
42.952,-82.417,300.7,0.4,0.5,2016-06-21,0655,N,nominal,1.0NRT,290.3,0,N
42.944,-82.418,306.4,0.4,0.5,2016-06-21,0655,N,nominal,1.0NRT,287.3,0,N
42.816,-81.328,296.7,0.6,0.4,2016-06-21,0655,N,nominal,1.0NRT,284.6,0,N
42.765,-82.748,296,0.4,0.5,2016-06-21,0655,N,nominal,1.0NRT,285.6,0,N
42.299,-83.155,331.3,0.5,0.5,2016-06-21,0655,N,nominal,1.0NRT,292.5,0,N
42.296,-83.173,306.7,0.5,0.5,2016-06-21,0655,N,nominal,1.0NRT,291.2,0,N
42.296,-83.167,306.8,0.5,0.5,2016-06-21,0655,N,nominal,1.0NRT,288.8,0,N
42.296,-83.162,304.6,0.5,0.5,2016-06-21,0655,N,nominal,1.0NRT,290.4,0,N
42.291,-83.162,332.6,0.5,0.5,2016-06-21,0655,N,nominal,1.0NRT,290.5,0,N
42.292,-83.168,301.2,0.5,0.5,2016-06-21,0655,N,nominal,1.0NRT,290.3,0,N
42.286,-83.107,307.8,0.4,0.5,2016-06-21,0655,N,nominal,1.0NRT,291.4,0,N
42.282,-83.108,338.5,0.4,0.5,2016-06-21,0655,N,nominal,1.0NRT,292.6,0,N
42.258,-83.128,334.5,0.5,0.5,2016-06-21,0655,N,nominal,1.0NRT,291.6,0,N
42.245,-83.136,328.2,0.5,0.5,2016-06-21,0655,N,nominal,1.0NRT,291.1,0,N
42.265,-83.435,309.8,0.5,0.5,2016-06-21,0655,N,nominal,1.0NRT,288,0,N
42.32,-88.029,297.8,0.4,0.6,2016-06-21,0655,N,nominal,1.0NRT,287.6,0,N
40.637,-74.214,304.9,0.4,0.4,2016-06-21,0655,N,nominal,1.0NRT,291.1,0,N
40.636,-74.222,310.1,0.4,0.4,2016-06-21,0655,N,nominal,1.0NRT,290.4,0,N
40.635,-74.217,310.8,0.4,0.4,2016-06-21,0655,N,nominal,1.0NRT,291.9,0,N
41.893,-86.242,324.8,0.3,0.6,2016-06-21,0655,N,nominal,1.0NRT,287.5,0,N
41.895,-86.243,300.6,0.3,0.6,2016-06-21,0655,N,nominal,1.0NRT,287.1,0,N
